,ZipCode,Population,PersonsPerHousehold,AverageHouseValue,IncomePerHousehold,Latitude,Longitude,Elevation,State,StateFullName,City,CountyName,CBSAType,CBSAName,MSAName,PMSA_Name,Region,Division,popden,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled,Transport (tCO2e/yr),Housing (tCO2e/yr),Food (tCO2e/yr),Goods (tCO2e/yr),Services (tCO2e/yr),Total Household Carbon Footprint (tCO2e/yr),HouseholdsPerZipCode,Total Zip Code Carbon Footprint (tCO2e/yr)
28670,90044,87366,3.55,141000,22091,33.953819,-118.292887,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,16946.266025690762,6117.299941072526,34022.83871166068,0.0,14038,9.229081233206626,6.9006254477273465,10.649999999999999,4.247194433661335,4.090823322016417,35.117724436611724,26977,947370.8521264745
28671,90045,39315,2.38,347800,56566,33.95496,-118.39674,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,3636.3841531160524,6885.176945012277,35342.515799452776,0.3291964796018902,21015,15.223528514750708,7.606586531176545,7.14,6.049725381833205,7.015330287698913,43.03517071545937,16110,693296.6002260505
28672,90046,49831,1.72,521500,37398,34.105576,-118.366794,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,9093.940177564607,4847.16919560728,26792.632467534127,0.5631444991602158,12690,9.496393511949151,5.8072630445558815,5.16,4.585081606738432,5.322141154496365,30.370879317739828,29759,903806.9976166196
28673,90047,47105,3.01,153600,35142,33.95634,-118.309879,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,10667.262701810094,7326.784876597171,41248.284368138346,0.0,17982,12.315075372266469,8.215740642553982,9.03,4.908681643092471,5.194903046099009,39.66440070401193,16686,661840.1901471431
28674,90048,21724,1.74,463200,47185,34.078992,-118.378957,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,11327.468328557066,5262.999621214345,29235.533874516164,0.7093694073577518,14159,10.798478958627184,6.389878984470217,5.22,5.212468360333704,6.169172154985853,33.78999845841695,12581,425111.9706053437
28675,90049,33520,1.99,951400,84342,34.07986,-118.48756,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,2120.3683520094855,6578.101365003499,32317.51069171152,1.0380554774087611,18541,14.935452011873112,7.340267604831953,5.97,7.690887252179639,9.39899950451989,45.335606373404595,17277,783263.2713133112
28676,90056,8108,2.36,429700,72193,33.984248,-118.364182,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,5105.578039213711,7738.080596531048,43295.39259158172,0.0,24776,18.186351476061123,8.802899488484025,7.08,7.033609086603769,8.365197254393284,49.4680573055422,3517,173979.15754359192
28677,90057,43986,2.9,173000,19736,34.06284,-118.275378,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,49830.070690592715,3970.310987221869,23867.583961431093,0.20729450192097387,9875,6.73837184752679,4.78682200789398,8.7,3.8710553358020396,3.8542986903155163,27.950547881538327,15627,436783.21174479945
28678,90058,3624,3.64,139000,18729,34.0023,-118.21152,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,844.7233461114057,4956.163532554492,28633.95813150843,0.0,12619,8.198575878679373,5.824062870062939,10.92,4.060269993297872,3.80400718662586,32.806915928666044,1000,32806.91592866604
28679,90059,38123,4.04,130500,22151,33.93258,-118.24554,267,CA,California,LOS ANGELES,LOS ANGELES,Metro,"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Riverside-Orange County, CA","Los Angeles-Long Beach, CA PMSA",West,Pacific,11712.862057798979,6674.893974409975,34992.145174330755,0.4334716484477841,15764,10.161757109306802,7.304888400236542,12.120000000000001,4.4297501712370835,4.12197446906287,38.1383701498433,10112,385655.1989552154
